themes_name,avg_parts
Glatorian Legends,45.0
Western ,42.5
Visorak,42.0
City,41.463
Series 4,41.462
X-Pod,40.684
Duplo,39.616
Monthly Mini Model Build,39.288
Pick A Model,39.267
Animals,39.0
Toa Inika,38.75
Toa Hordika,37.5
Toa Hagah,36.667
Piraka,36.429
LEGO Exclusive,36.0
Toa,34.077
Rahkshi,33.44
Bohrok-Kal,32.5
Train,31.685
Matoran of Mahri Nui,31.4
Toa Nuva,31.375
Fabuland,30.952
Toa Metru,30.909
Clikits,28.476
Basic Model,28.109
Books,28.105
Rahaga,28.0
Vahki,26.733
Service Packs,26.657
4 Juniors,26.0
Bohrok Va,24.545
Matoran of Metru Nui,24.429
HO 1:87 Vehicles,24.0
Turaga,23.692
Dinosaurs,23.071
Matoran of Voya Nui,21.0
Bohrok,20.923
Collectible Minifigures,20.688
Aquazone,20.0
Ben 10,19.0
Stars,18.833
Matoran of Mata Nui,18.462
The Lord of the Rings,17.25
Adventurers,15.0
Agori,14.833
Matoran of Light,13.143
Xalax,13.063
Series 17 Minifigures,12.889
Scala,12.846
Gear,11.126
Team GB,11.0
Jumbo Bricks,11.0
Series 8 Minifigures,10.263
Series 7 Minifigures,10.263
Series 12 Minifigures,10.211
Series 6 Minifigures,10.105
Series 13 Minifigures,10.105
Belville,10.069
Series 4 Minifigures,10.0
Advent Sub-Set,9.885
Series 11 Minifigures,9.842
Series 2 Minifigures,9.789
Series 3 Minifigures,9.737
Series 1 Minifigures,9.737
The LEGO Movie Series,9.579
Series 9 Minifigures,9.579
Series 5 Minifigures,9.579
Series 10 Minifigures,9.35
The Simpsons,8.789
Tohunga,8.0
Series 16 Minifigures,7.176
Series 15 Minifigures,6.368
DFB Minifigures,5.647
The Hobbit,5.5
Series 14 Minifigures,5.368
Indiana Jones,4.0
Classic Town,3.818
Minifig Pack,3.5
Value Packs,3.167
Western,3.0
Planet Series 1,3.0
Control Lab,2.0
Power Functions,1.882
Imperial Guards,1.0
Key Chain,0.182
Samsonite,0.0
Wooden Box Set,-1.0
